ID,Authors,Title
79,"['Daichi Haraguchi', 'Seiichi Uchida', 'Kazuki Kitajima']",Font Impression Estimation in the Wild
80,"['KhayTze Peong', 'Seiichi Uchida', 'Daichi Haraguchi']",Typographic Text Generation with Off-the-Shelf Diffusion Model
81,"['Zhen', 'Feng Chen', 'Xu', 'Lun Mo', 'Qi Liu', 'Cheng Yin', 'Song - Lu Chen']",Multi-task Learning for License Plate Recognition in Unconstrained Scenarios
82,"['Yusheng Xie', 'Jishen Zhao', 'Luis Goncalves', 'Hui Shi', 'Sicun Gao']",WikiDT: Visual-based Table Recognition and Question Answering Dataset
83,"['Daichi Haraguchi', 'Seiichi Uchida', 'Yugo Kubota']",Impression-CLIP: Contrastive Shape-Impression Embedding for Fonts
84,"['Kangsoo Jung', 'Dimosthenis Karatzas', 'Mohamed Ali Souibgui', 'Ernest Valveny', 'Antti Honkela', 'Rubèn Tito', 'Khanh Nguyen', 'Lei Kang', 'Joonas Jälkö', 'Aurelie Joseph', 'Vincent Poulain D ’ Andecy', 'Marlon Tobaben', 'Mario Fritz', 'Raouf Kerkouche']",Privacy-Aware Document Visual Question Answering
86,"['Roberto Paredes', 'Dan Anitei', 'Daniel Parres']",Handwritten Document Recognition Using Pre-trained Vision Transformers
89,"['Mick', 'Antoine Doucet', '##ël Coustaty', 'Carlos - Emiliano González - Gallardo', 'Wenjun Sun', 'Hanh Thi Hong Tran']",Global-SEG: Text Semantic Segmentation Based on Global Semantic Pair Relations
92,"['Wei Yang', 'Askar Hamdulla', 'Mayire Ibrayim', 'Yihong Luo']",More and Less: Enhancing Abundance and Refining Redundancy for Text-Prior-Guided Scene Text Image Super-Resolution
94,"['Jordy Van Landeghem', 'Matthew Blaschko', 'Sien Moens', 'Souhail Bakkali', 'Omar Hamed']",Multimodal Adaptive Inference for Document Image Classification with Anytime Early Exiting
95,"['Marco Spinaci', 'Marek Polewczyk']",ClusterTabNet: Supervised clustering method for table detection and table structure recognition
97,"['Carlos - D. Martínez - Hinarejos', 'Moisés Pastor - Gadea', 'Verónica Romero', 'Aparisi', 'David Villanova', 'Christopher Kermorvant', 'Solène Tarride']",Reading Order Independent Metrics for Information Extraction in Handwritten Documents
98,"['Anna Zhu', 'Huen Chen', 'Jiangyang He']",Controllable Text Layout Generation For Synthesizing Scene Text Image
100,"['Carlos Boned', 'Sanket Biswas', 'Maxime Talarmain', 'Oriol Ramos Terrades']",Recurrent Few-Shot model for Document Verification
102,"['José Miguel Benedí', 'Joan Andreu Sánchez', 'Dan Anitei', 'Daniel Parres']",Improving Efficiency and Performance through CTC-based Transformers for Mathematical Expression Recognition
103,"['Joan Andreu Sánchez', 'Manuel Villarreal']",Enhancing Recognition of Historical Musical Pieces with Synthetic and Composed images
104,"['Askar Hamdulla', 'Mayire Ibrayim', 'Chunhu Zhang', 'Qilin Deng', 'Hailong Luo']",Doc-DINO: A Transformer Model for Complex Logical Document Layout Analysis
105,"['Dimosthenis Karatzas', 'Lluis Gomez', 'Mohamed Ali Souibgui', 'Ernest Valveny', 'Fei Yang', 'Lei Kang']",Machine Unlearning for Document Classification
107,"['Lei Kang', 'Dimosthenis Karatzas', 'Ernest Valveny', 'Rubèn Tito']",Multi-Page Document Visual Question Answering using Self-Attention Scoring Mechanism
108,"['Di Wu', 'Shuqi Dai', 'Yiran Zhao', 'Tong Li']",Integrating Dependency Type and Directionality into Adapted Graph Attention Networks to Enhance Relation Extraction
109,"['Matthias Beckmann', 'Dominik Hauser', 'Günther Koliander', 'H. Siegfried Stiehl']",On Image Processing and Pattern Recognition for Thermograms of Watermarks in Manuscripts  A First Proof-of-Concept
111,"['Mathieu Aubry', 'Scott Trigg', 'Matthieu Husson', 'Ségolène Albouy', 'Syrine Kalleli']",Historical Astronomical Diagrams Decomposition in Geometric Primitives
112,"['Kurban Ubul', 'Alimjan Aysa', 'Tianqing Zhang', 'Li Zhao']",Improving Retrieval-Based Dialogue Systems: Fine-grained Post-training Prompt Adaptation and Pairwise Optimization Fine-tuning Strategy
113,"['Antonio Ríos - Vila', 'Thierry Paquet', 'Jorge Calvo - Zaragoza']",Sheet Music Transformer: End-To-End Optical Music Recognition Beyond Monophonic Transcription
116,"['Ferrer', 'Miguel A', 'Moises Diaz', 'Alexios Giazitzis', 'Elias N', 'Zois']",Janus-faced handwritten signature attack: a clash between a handwritten Signature Duplicator and a writer independent Metric Meta-Learning Offline Signature Verifier
117,"['O. Cruz', 'F. Souzar', 'I. Oliveirar', 'Adriano L', 'Robert Sabourin', 'Rafael M', 'Talles B. Vianar', 'Victor L']",Robust Handwritten Signature Representation with Continual Learning of Synthetic Data over Predefined Real Feature Space
